patent_id,organization,city,country
10660007,"ELTA SYSTEMS, INC.",ASHDOD,IL
10795673,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10811387,"MICRON TECHNOLOGY, INC.",BOISE,US
10628995,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10872674,"MICRON TECHNOLOGY, INC.",BOISE,US
10609836,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10534693,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10622065,"MICRON TECHNOLOGY, INC.",BOISE,US
10536569,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10554486,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10809942,"MICRON TECHNOLOGY, INC.",BOISE,US
10742411,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10574792,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10747245,"MICRON TECHNOLOGY, INC.",BOISE,US
10658018,"MICRON TECHNOLOGY, INC.",BOISE,US
10585230,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10579344,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10656789,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10579442,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10789182,"MICRON TECHNOLOGY, INC.",BOISE,US
10608012,"MICRON TECHNOLOGY, INC.",BOISE,US
10552799,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10712791,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10825501,"MICRON TECHNOLOGY, INC.",BOISE,US
10536465,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10628076,"MICRON TECHNOLOGY, INC.",BOISE,US
10795894,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10707197,"MICRON TECHNOLOGY, INC.",BOISE,US
10867670,"MICRON TECHNOLOGY, INC.",BOISE,US
10713151,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10872010,"MICRON TECHNOLOGY, INC.",BOISE,US
10750364,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10770421,"MICRON TECHNOLOGY, INC.",BOISE,US
10746835,"MICRON TECHNOLOGY, INC.",BOISE,US
10825987,"MICRON TECHNOLOGY, INC.",BOISE,US
10839394,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10798147,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10860179,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10756265,"MICRON TECHNOLOGY, INC.",BOISE,US
10860551,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10853332,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10559531,"MICRON TECHNOLOGY, INC.",BOISE,US
10817928,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10546620,"MICRON TECHNOLOGY, INC.",BOISE,US
10672159,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10861555,"MICRON TECHNOLOGY, INC.",BOISE,US
10872009,"MICRON TECHNOLOGY, INC.",BOISE,US
10734296,"MICRON TECHNOLOGY, INC.",BOISE,US
10672470,"MICRON TECHNOLOGY, INC.",BOISE,US
10671415,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10770465,"MICRON TECHNOLOGY, INC.",BOISE,US
10726074,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10817414,"MICRON TECHNOLOGY, INC.",BOISE,US
10853275,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10839165,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10564944,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10803670,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10803196,"MICROSOFT TECHNOLOGY LICENSING, LLC",REDMOND,US
10854675,"MICRON TECHNOLOGY, INC.",BOISE,US
10879459,"MICRON TECHNOLOGY, INC.",BOISE,US
