,patent_id,organization,city,country
0,10660007,ELTA SYSTEMS,ASHDOD,IL
1,10795673,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
2,10811387,MICRON TECHNOLOGY,BOISE,US
3,10628995,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
4,10872674,MICRON TECHNOLOGY,BOISE,US
5,10609836,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
6,10534693,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
7,10622065,MICRON TECHNOLOGY,BOISE,US
8,10536569,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
9,10554486,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
10,10809942,MICRON TECHNOLOGY,BOISE,US
11,10742411,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
12,10574792,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
13,10747245,MICRON TECHNOLOGY,BOISE,US
14,10658018,MICRON TECHNOLOGY,BOISE,US
15,10585230,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
16,10579344,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
17,10656789,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
18,10579442,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
19,10789182,MICRON TECHNOLOGY,BOISE,US
20,10608012,MICRON TECHNOLOGY,BOISE,US
21,10552799,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
22,10712791,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
23,10825501,MICRON TECHNOLOGY,BOISE,US
24,10536465,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
25,10628076,MICRON TECHNOLOGY,BOISE,US
26,10795894,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
27,10707197,MICRON TECHNOLOGY,BOISE,US
28,10867670,MICRON TECHNOLOGY,BOISE,US
29,10713151,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
30,10872010,MICRON TECHNOLOGY,BOISE,US
31,10750364,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
32,10770421,MICRON TECHNOLOGY,BOISE,US
33,10746835,MICRON TECHNOLOGY,BOISE,US
34,10825987,MICRON TECHNOLOGY,BOISE,US
35,10839394,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
36,10798147,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
37,10860179,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
38,10756265,MICRON TECHNOLOGY,BOISE,US
39,10860551,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
40,10853332,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
41,10559531,MICRON TECHNOLOGY,BOISE,US
42,10817928,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
43,10546620,MICRON TECHNOLOGY,BOISE,US
44,10672159,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
45,10861555,MICRON TECHNOLOGY,BOISE,US
46,10872009,MICRON TECHNOLOGY,BOISE,US
47,10734296,MICRON TECHNOLOGY,BOISE,US
48,10672470,MICRON TECHNOLOGY,BOISE,US
49,10671415,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
50,10770465,MICRON TECHNOLOGY,BOISE,US
51,10726074,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
52,10817414,MICRON TECHNOLOGY,BOISE,US
53,10853275,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
54,10839165,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
55,10564944,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
56,10803670,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
57,10803196,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
58,10854675,MICRON TECHNOLOGY,BOISE,US
59,10879459,MICRON TECHNOLOGY,BOISE,US
60,10872023,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
61,10797874,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
62,10782800,MICROSOFT TECHNOLOGY LICENSING,REDMOND,US
